Country,Product_name,Quantity_purchased,Crop_name,Feedback,Comments,Price,Total_price,Manufacturing,Transaction_date,Expiration,Review
Sri-Lanka,Maggi,33,['Wheat'],2,Poor,30,990,2022-08-07,2022-09-05,2022-11-05,Below average product.
India,Toffee,37,['Sugar'],5,Excellent,20,740,2025-01-25,2025-02-22,2025-04-25,Exceeded my expectations!
India,Toffee,71,['Sugar'],1,Very Poor,20,1420,2023-07-31,2023-08-21,2023-10-29,Very poor quality.
Bangladesh,Toffee,48,['Sugar'],1,Very Poor,10,480,2023-01-30,2023-03-07,2023-04-30,Would not recommend.
India,Cookie,60,"['Barley', 'Sugar']",3,Average,100,6000,2024-03-09,2024-04-19,2024-06-07,"Average product, nothing special."
India,Toffee,79,['Sugar'],4,Good,20,1580,2020-03-26,2020-05-25,2020-06-24,Satisfactory purchase.
India,Banana Chips,68,['Banana'],3,Average,40,2720,2021-08-12,2021-10-02,2021-11-10,Decent product overall.
Pakistan,Maggi,78,['Wheat'],3,Average,15,1170,2020-09-20,2020-11-17,2020-12-19,Decent product overall.
Bangladesh,Toffee,43,['Sugar'],3,Average,10,430,2022-10-25,2022-11-17,2023-01-23,Okay for the price.
Sri-Lanka,Pie,77,['Sugar'],4,Good,35,2695,2023-08-03,2023-10-04,2023-11-01,Quite happy with the product.
Nepal,Toffee,76,['Sugar'],1,Very Poor,15,1140,2021-09-24,2021-10-17,2021-12-23,Disappointed with the product.
Bangladesh,Maggi,93,['Wheat'],5,Excellent,35,3255,2024-01-24,2024-03-28,2024-04-23,Outstanding product quality!
India,Ketchup,51,['Tomato'],3,Average,60,3060,2023-05-08,2023-07-27,2023-08-06,Okay for the price.
Bhutan,Biscuit,22,"['Wheat', 'Sugar', 'Barley']",2,Poor,25,550,2025-06-04,2025-08-01,2025-09-02,Not what I expected.
Pakistan,Nachos,28,['Maize'],0,No Feedback,60,1680,2024-02-24,2024-03-10,2024-05-24,No feedback
Nepal,Ketchup,32,['Tomato'],3,Average,55,1760,2020-07-17,2020-09-15,2020-10-15,Okay for the price.
Sri-Lanka,Cookie,54,"['Barley', 'Sugar']",0,No Feedback,85,4590,2020-10-15,2020-12-21,2021-01-13,No feedback
India,Khari,22,['Cumin'],2,Poor,40,880,2020-10-09,2020-12-24,2021-01-07,"Not great, needs improvement."
Nepal,Ketchup,28,['Tomato'],2,Poor,55,1540,2024-02-07,2024-04-06,2024-05-07,Not what I expected.
Bangladesh,Khari,41,['Cumin'],2,Poor,20,820,2020-01-23,2020-03-06,2020-04-22,"Not great, needs improvement."
Bangladesh,Banana Chips,20,['Banana'],2,Poor,35,700,2022-01-21,2022-02-22,2022-04-21,"Not great, needs improvement."
Bangladesh,Ketchup,37,['Tomato'],2,Poor,45,1665,2024-10-17,2025-01-06,2025-01-15,Below average product.
Bhutan,Nachos,51,['Maize'],2,Poor,75,3825,2024-10-01,2024-11-14,2024-12-30,Below average product.
India,Pie,78,['Sugar'],5,Excellent,50,3900,2022-09-17,2022-10-27,2022-12-16,Absolutely loved it!
Nepal,Toffee,12,['Sugar'],0,No Feedback,15,180,2023-10-08,2023-10-24,2024-01-06,No feedback
Sri-Lanka,Pasta,43,"['Wheat', 'Barley']",4,Good,100,4300,2024-02-04,2024-03-21,2024-05-04,Quite happy with the product.
Nepal,Pie,45,['Sugar'],3,Average,45,2025,2023-08-21,2023-09-02,2023-11-19,"Average product, nothing special."
Bangladesh,Nachos,54,['Maize'],5,Excellent,35,1890,2021-10-01,2021-12-04,2021-12-30,Exceeded my expectations!
India,Ketchup,61,['Tomato'],1,Very Poor,60,3660,2024-07-21,2024-08-17,2024-10-19,Disappointed with the product.
Bhutan,Banana Chips,96,['Banana'],5,Excellent,45,4320,2020-10-21,2020-11-21,2021-01-19,Exceeded my expectations!
Bhutan,Ketchup,98,['Tomato'],0,No Feedback,65,6370,2020-03-15,2020-05-19,2020-06-13,No feedback
Nepal,Pasta,69,"['Wheat', 'Barley']",3,Average,100,6900,2021-05-18,2021-06-16,2021-08-16,Decent product overall.
Bhutan,Maggi,83,['Wheat'],2,Poor,25,2075,2022-11-01,2022-11-27,2023-01-30,"Not great, needs improvement."
India,Khari,87,['Cumin'],0,No Feedback,40,3480,2020-07-04,2020-09-08,2020-10-02,No feedback
India,Pasta,51,"['Wheat', 'Barley']",1,Very Poor,120,6120,2025-02-28,2025-05-19,2025-05-29,Very poor quality.
Nepal,Pasta,70,"['Wheat', 'Barley']",0,No Feedback,100,7000,2024-12-04,2025-01-24,2025-03-04,No feedback
Bhutan,Ketchup,74,['Tomato'],3,Average,65,4810,2023-12-06,2024-01-15,2024-03-05,Decent product overall.
India,Nachos,72,['Maize'],1,Very Poor,65,4680,2022-09-19,2022-10-29,2022-12-18,Very poor quality.
Bhutan,Banana Chips,88,['Banana'],3,Average,45,3960,2023-08-15,2023-09-24,2023-11-13,Decent product overall.
Bhutan,Pie,59,['Sugar'],0,No Feedback,55,3245,2020-09-09,2020-11-28,2020-12-08,No feedback
Sri-Lanka,Cookie,75,"['Barley', 'Sugar']",4,Good,85,6375,2020-09-20,2020-12-03,2020-12-19,Satisfactory purchase.
India,Toffee,85,['Sugar'],1,Very Poor,20,1700,2022-10-09,2022-11-11,2023-01-07,Very poor quality.
Sri-Lanka,Ketchup,55,['Tomato'],2,Poor,50,2750,2020-12-04,2021-02-15,2021-03-04,Not what I expected.
India,Khari,55,['Cumin'],2,Poor,40,2200,2020-07-02,2020-09-23,2020-09-30,Not what I expected.
Bangladesh,Cookie,81,"['Barley', 'Sugar']",3,Average,80,6480,2020-03-03,2020-05-27,2020-06-01,"Average product, nothing special."
Nepal,Nachos,12,['Maize'],0,No Feedback,55,660,2025-07-16,2025-09-21,2025-10-14,No feedback
Bangladesh,Pasta,54,"['Wheat', 'Barley']",0,No Feedback,95,5130,2025-06-20,2025-08-30,2025-09-18,No feedback
Sri-Lanka,Pasta,53,"['Wheat', 'Barley']",5,Excellent,100,5300,2024-08-19,2024-09-02,2024-11-17,Outstanding product quality!
India,Khari,80,['Cumin'],3,Average,40,3200,2023-09-25,2023-10-12,2023-12-24,"Average product, nothing special."
Bangladesh,Pasta,92,"['Wheat', 'Barley']",3,Average,95,8740,2025-07-30,2025-10-06,2025-10-28,"Average product, nothing special."
Bangladesh,Khari,18,['Cumin'],0,No Feedback,20,360,2025-02-22,2025-03-19,2025-05-23,No feedback
Bhutan,Khari,29,['Cumin'],3,Average,45,1305,2024-03-12,2024-04-10,2024-06-10,Decent product overall.
India,Ketchup,65,['Tomato'],3,Average,60,3900,2021-02-07,2021-03-28,2021-05-08,"Average product, nothing special."
India,Khari,44,['Cumin'],3,Average,40,1760,2023-04-06,2023-05-17,2023-07-05,Okay for the price.
Bhutan,Ketchup,18,['Tomato'],5,Excellent,65,1170,2025-03-10,2025-06-02,2025-06-08,Exceeded my expectations!
Bangladesh,Maggi,32,['Wheat'],2,Poor,35,1120,2025-03-22,2025-04-28,2025-06-20,"Not great, needs improvement."
Nepal,Nachos,38,['Maize'],4,Good,55,2090,2023-01-15,2023-02-23,2023-04-15,"Good product, no issues."
Nepal,Cookie,23,"['Barley', 'Sugar']",3,Average,95,2185,2024-11-08,2024-12-01,2025-02-06,"Average product, nothing special."
Pakistan,Nachos,85,['Maize'],1,Very Poor,60,5100,2020-11-08,2020-12-12,2021-02-06,Very poor quality.
Bangladesh,Pasta,66,"['Wheat', 'Barley']",4,Good,95,6270,2023-07-27,2023-08-14,2023-10-25,"Good product, no issues."
Bangladesh,Nachos,66,['Maize'],0,No Feedback,35,2310,2024-05-08,2024-07-28,2024-08-06,No feedback
Bangladesh,Pasta,87,"['Wheat', 'Barley']",5,Excellent,95,8265,2021-05-31,2021-08-21,2021-08-29,Absolutely loved it!
Sri-Lanka,Cookie,30,"['Barley', 'Sugar']",0,No Feedback,85,2550,2024-09-28,2024-10-09,2024-12-27,No feedback
Bangladesh,Biscuit,73,"['Wheat', 'Sugar', 'Barley']",3,Average,18,1314,2023-11-13,2024-01-03,2024-02-11,Okay for the price.
Bangladesh,Pasta,81,"['Wheat', 'Barley']",1,Very Poor,95,7695,2021-09-21,2021-12-02,2021-12-20,Would not recommend.
Nepal,Pasta,43,"['Wheat', 'Barley']",2,Poor,100,4300,2024-08-21,2024-09-05,2024-11-19,Below average product.
India,Khari,46,['Cumin'],0,No Feedback,40,1840,2024-03-06,2024-03-25,2024-06-04,No feedback
India,Pasta,64,"['Wheat', 'Barley']",4,Good,120,7680,2020-07-05,2020-07-31,2020-10-03,"Good product, no issues."
Sri-Lanka,Pasta,78,"['Wheat', 'Barley']",1,Very Poor,100,7800,2021-04-14,2021-05-30,2021-07-13,Very poor quality.
Bhutan,Pie,57,['Sugar'],4,Good,55,3135,2022-03-12,2022-06-01,2022-06-10,Quite happy with the product.
India,Nachos,21,['Maize'],0,No Feedback,65,1365,2023-07-20,2023-09-05,2023-10-18,No feedback
Nepal,Nachos,15,['Maize'],5,Excellent,55,825,2025-03-28,2025-05-28,2025-06-26,Outstanding product quality!
Bangladesh,Nachos,65,['Maize'],0,No Feedback,35,2275,2021-02-27,2021-04-23,2021-05-28,No feedback
India,Pasta,98,"['Wheat', 'Barley']",2,Poor,120,11760,2025-07-24,2025-10-09,2025-10-22,Not what I expected.
Nepal,Pie,94,['Sugar'],1,Very Poor,45,4230,2024-01-01,2024-02-02,2024-03-31,Very poor quality.
Pakistan,Maggi,54,['Wheat'],2,Poor,15,810,2022-01-01,2022-02-26,2022-04-01,"Not great, needs improvement."
Nepal,Cookie,80,"['Barley', 'Sugar']",5,Excellent,95,7600,2023-11-06,2023-11-28,2024-02-04,Outstanding product quality!
Sri-Lanka,Pie,31,['Sugar'],5,Excellent,35,1085,2022-08-09,2022-10-16,2022-11-07,Exceeded my expectations!
India,Banana Chips,99,['Banana'],4,Good,40,3960,2024-12-31,2025-03-15,2025-03-31,"Good product, no issues."
Pakistan,Pasta,75,"['Wheat', 'Barley']",4,Good,75,5625,2025-07-14,2025-08-27,2025-10-12,Quite happy with the product.
Bangladesh,Banana Chips,96,['Banana'],3,Average,35,3360,2025-05-25,2025-07-12,2025-08-23,"Average product, nothing special."
Sri-Lanka,Pie,66,['Sugar'],0,No Feedback,35,2310,2020-07-06,2020-09-27,2020-10-04,No feedback
Bangladesh,Toffee,85,['Sugar'],0,No Feedback,10,850,2021-01-23,2021-03-28,2021-04-23,No feedback
Bhutan,Pie,44,['Sugar'],2,Poor,55,2420,2020-01-13,2020-04-06,2020-04-12,Below average product.
Nepal,Khari,37,['Cumin'],1,Very Poor,35,1295,2024-09-13,2024-12-05,2024-12-12,Very poor quality.
Sri-Lanka,Ketchup,16,['Tomato'],3,Average,50,800,2023-02-22,2023-04-22,2023-05-23,Decent product overall.
Sri-Lanka,Pie,59,['Sugar'],1,Very Poor,35,2065,2025-02-17,2025-03-19,2025-05-18,Disappointed with the product.
Bhutan,Pie,86,['Sugar'],3,Average,55,4730,2020-03-18,2020-05-04,2020-06-16,Okay for the price.
Bangladesh,Khari,47,['Cumin'],1,Very Poor,20,940,2025-07-27,2025-09-19,2025-10-25,Disappointed with the product.
Nepal,Ketchup,60,['Tomato'],0,No Feedback,55,3300,2020-10-31,2021-01-24,2021-01-29,No feedback
Nepal,Pie,77,['Sugar'],5,Excellent,45,3465,2020-12-29,2021-03-14,2021-03-29,Outstanding product quality!
India,Khari,16,['Cumin'],0,No Feedback,40,640,2024-10-25,2024-12-08,2025-01-23,No feedback
India,Pie,21,['Sugar'],0,No Feedback,50,1050,2022-01-07,2022-02-07,2022-04-07,No feedback
Nepal,Pie,12,['Sugar'],1,Very Poor,45,540,2023-10-09,2023-12-06,2024-01-07,Would not recommend.
Nepal,Ketchup,12,['Tomato'],2,Poor,55,660,2021-07-15,2021-08-01,2021-10-13,Below average product.
Bhutan,Maggi,58,['Wheat'],2,Poor,25,1450,2025-07-25,2025-09-05,2025-10-23,Below average product.
Pakistan,Ketchup,24,['Tomato'],2,Poor,55,1320,2022-03-07,2022-05-06,2022-06-05,"Not great, needs improvement."
Bangladesh,Nachos,87,['Maize'],4,Good,35,3045,2020-06-03,2020-07-28,2020-09-01,Satisfactory purchase.
Bhutan,Cookie,40,"['Barley', 'Sugar']",4,Good,105,4200,2021-09-20,2021-11-10,2021-12-19,Satisfactory purchase.
Nepal,Pie,43,['Sugar'],5,Excellent,45,1935,2021-04-19,2021-06-10,2021-07-18,Outstanding product quality!
Sri-Lanka,Cookie,14,"['Barley', 'Sugar']",2,Poor,85,1190,2021-02-11,2021-04-19,2021-05-12,"Not great, needs improvement."
Bangladesh,Ketchup,99,['Tomato'],2,Poor,45,4455,2023-11-18,2023-12-22,2024-02-16,Below average product.
Bangladesh,Banana Chips,25,['Banana'],2,Poor,35,875,2021-07-03,2021-09-03,2021-10-01,Below average product.
Bhutan,Pie,62,['Sugar'],0,No Feedback,55,3410,2022-04-21,2022-06-12,2022-07-20,No feedback
Bhutan,Pie,63,['Sugar'],3,Average,55,3465,2022-11-22,2023-01-12,2023-02-20,Decent product overall.
Bangladesh,Pie,46,['Sugar'],3,Average,30,1380,2023-11-11,2024-01-19,2024-02-09,Decent product overall.
Pakistan,Maggi,19,['Wheat'],1,Very Poor,15,285,2021-07-06,2021-07-19,2021-10-04,Would not recommend.
Bhutan,Ketchup,49,['Tomato'],3,Average,65,3185,2021-01-16,2021-03-12,2021-04-16,"Average product, nothing special."
Nepal,Pasta,94,"['Wheat', 'Barley']",3,Average,100,9400,2022-04-16,2022-05-24,2022-07-15,Decent product overall.
Sri-Lanka,Pasta,71,"['Wheat', 'Barley']",4,Good,100,7100,2021-12-20,2022-01-21,2022-03-20,"Good product, no issues."
Sri-Lanka,Banana Chips,60,['Banana'],0,No Feedback,25,1500,2025-04-23,2025-06-02,2025-07-22,No feedback
Nepal,Banana Chips,30,['Banana'],3,Average,45,1350,2023-05-14,2023-08-02,2023-08-12,Decent product overall.
Sri-Lanka,Khari,71,['Cumin'],2,Poor,35,2485,2024-03-24,2024-04-21,2024-06-22,Not what I expected.
Bhutan,Cookie,46,"['Barley', 'Sugar']",4,Good,105,4830,2020-11-19,2021-01-12,2021-02-17,Quite happy with the product.
Sri-Lanka,Pie,42,['Sugar'],5,Excellent,35,1470,2024-06-24,2024-07-06,2024-09-22,Exceeded my expectations!
Bhutan,Toffee,51,['Sugar'],2,Poor,15,765,2024-03-04,2024-05-03,2024-06-02,"Not great, needs improvement."
India,Toffee,45,['Sugar'],0,No Feedback,20,900,2023-02-20,2023-05-02,2023-05-21,No feedback
India,Banana Chips,93,['Banana'],3,Average,40,3720,2020-05-09,2020-06-07,2020-08-07,Decent product overall.
Pakistan,Cookie,26,"['Barley', 'Sugar']",1,Very Poor,75,1950,2022-07-16,2022-09-02,2022-10-14,Would not recommend.
Bangladesh,Ketchup,89,['Tomato'],4,Good,45,4005,2020-12-30,2021-03-04,2021-03-30,Quite happy with the product.
Nepal,Khari,59,['Cumin'],3,Average,35,2065,2023-09-12,2023-10-28,2023-12-11,"Average product, nothing special."
Sri-Lanka,Banana Chips,94,['Banana'],4,Good,25,2350,2024-06-12,2024-08-29,2024-09-10,Satisfactory purchase.
Pakistan,Pasta,48,"['Wheat', 'Barley']",0,No Feedback,75,3600,2022-08-08,2022-08-21,2022-11-06,No feedback
Bhutan,Pie,84,['Sugar'],3,Average,55,4620,2020-12-04,2021-01-01,2021-03-04,Decent product overall.
Nepal,Biscuit,21,"['Wheat', 'Sugar', 'Barley']",4,Good,24,504,2023-05-21,2023-07-13,2023-08-19,Quite happy with the product.
Bhutan,Pasta,75,"['Wheat', 'Barley']",3,Average,105,7875,2024-05-24,2024-06-17,2024-08-22,Decent product overall.
India,Pasta,67,"['Wheat', 'Barley']",1,Very Poor,120,8040,2021-07-06,2021-09-28,2021-10-04,Would not recommend.
Sri-Lanka,Banana Chips,95,['Banana'],4,Good,25,2375,2023-08-20,2023-09-13,2023-11-18,Quite happy with the product.
Pakistan,Khari,34,['Cumin'],2,Poor,25,850,2025-07-18,2025-09-07,2025-10-16,"Not great, needs improvement."
Bangladesh,Toffee,44,['Sugar'],2,Poor,10,440,2024-03-26,2024-04-15,2024-06-24,Not what I expected.
India,Banana Chips,66,['Banana'],2,Poor,40,2640,2025-01-08,2025-03-02,2025-04-08,Not what I expected.
India,Maggi,27,['Wheat'],0,No Feedback,25,675,2022-07-21,2022-09-04,2022-10-19,No feedback
India,Cookie,53,"['Barley', 'Sugar']",3,Average,100,5300,2021-12-07,2022-01-17,2022-03-07,Decent product overall.
Sri-Lanka,Biscuit,30,"['Wheat', 'Sugar', 'Barley']",2,Poor,22,660,2022-10-03,2022-11-05,2023-01-01,Below average product.
India,Pie,29,['Sugar'],2,Poor,50,1450,2021-12-26,2022-02-19,2022-03-26,Not what I expected.
Sri-Lanka,Cookie,53,"['Barley', 'Sugar']",3,Average,85,4505,2024-08-24,2024-10-16,2024-11-22,"Average product, nothing special."
India,Toffee,97,['Sugar'],5,Excellent,20,1940,2022-05-10,2022-05-23,2022-08-08,Exceeded my expectations!
Bangladesh,Biscuit,45,"['Wheat', 'Sugar', 'Barley']",0,No Feedback,18,810,2020-05-23,2020-06-16,2020-08-21,No feedback
Bhutan,Ketchup,91,['Tomato'],4,Good,65,5915,2021-02-11,2021-04-13,2021-05-12,Satisfactory purchase.
India,Cookie,82,"['Barley', 'Sugar']",3,Average,100,8200,2023-11-13,2024-01-10,2024-02-11,"Average product, nothing special."
Nepal,Biscuit,95,"['Wheat', 'Sugar', 'Barley']",2,Poor,24,2280,2024-06-20,2024-07-05,2024-09-18,Not what I expected.
Bhutan,Ketchup,94,['Tomato'],2,Poor,65,6110,2021-11-25,2022-02-16,2022-02-23,Not what I expected.
Sri-Lanka,Banana Chips,84,['Banana'],0,No Feedback,25,2100,2021-06-16,2021-08-04,2021-09-14,No feedback
India,Banana Chips,22,['Banana'],2,Poor,40,880,2020-01-13,2020-02-29,2020-04-12,Below average product.
Nepal,Pie,22,['Sugar'],4,Good,45,990,2020-06-10,2020-08-15,2020-09-08,Quite happy with the product.
Bangladesh,Pie,14,['Sugar'],5,Excellent,30,420,2024-04-14,2024-05-24,2024-07-13,Exceeded my expectations!
Sri-Lanka,Nachos,96,['Maize'],3,Average,45,4320,2023-03-06,2023-05-27,2023-06-04,"Average product, nothing special."
Bhutan,Pie,29,['Sugar'],5,Excellent,55,1595,2021-08-05,2021-09-21,2021-11-03,Exceeded my expectations!
Bangladesh,Banana Chips,94,['Banana'],4,Good,35,3290,2020-09-12,2020-11-12,2020-12-11,Quite happy with the product.
Sri-Lanka,Pie,22,['Sugar'],1,Very Poor,35,770,2023-03-02,2023-05-12,2023-05-31,Would not recommend.
Nepal,Cookie,70,"['Barley', 'Sugar']",3,Average,95,6650,2022-08-18,2022-10-27,2022-11-16,"Average product, nothing special."
Nepal,Khari,96,['Cumin'],5,Excellent,35,3360,2023-08-21,2023-09-19,2023-11-19,Outstanding product quality!
Bangladesh,Maggi,34,['Wheat'],2,Poor,35,1190,2023-10-16,2023-11-27,2024-01-14,Below average product.
Bhutan,Pie,15,['Sugar'],1,Very Poor,55,825,2022-11-29,2023-02-19,2023-02-27,Would not recommend.
Bangladesh,Biscuit,60,"['Wheat', 'Sugar', 'Barley']",2,Poor,18,1080,2022-08-31,2022-09-22,2022-11-29,"Not great, needs improvement."
India,Nachos,89,['Maize'],0,No Feedback,65,5785,2025-02-15,2025-02-28,2025-05-16,No feedback
Bangladesh,Biscuit,77,"['Wheat', 'Sugar', 'Barley']",4,Good,18,1386,2021-08-17,2021-09-17,2021-11-15,Satisfactory purchase.
Bangladesh,Toffee,37,['Sugar'],2,Poor,10,370,2022-12-25,2023-01-09,2023-03-25,"Not great, needs improvement."
Nepal,Banana Chips,50,['Banana'],4,Good,45,2250,2025-06-13,2025-06-29,2025-09-11,Quite happy with the product.
India,Khari,33,['Cumin'],4,Good,40,1320,2024-10-14,2024-11-18,2025-01-12,"Good product, no issues."
Bangladesh,Pasta,87,"['Wheat', 'Barley']",3,Average,95,8265,2021-01-29,2021-02-11,2021-04-29,Decent product overall.
India,Ketchup,99,['Tomato'],0,No Feedback,60,5940,2023-09-20,2023-12-03,2023-12-19,No feedback
Sri-Lanka,Banana Chips,43,['Banana'],1,Very Poor,25,1075,2022-12-06,2023-01-24,2023-03-06,Would not recommend.
Sri-Lanka,Khari,50,['Cumin'],1,Very Poor,35,1750,2025-01-08,2025-03-30,2025-04-08,Very poor quality.
Bangladesh,Khari,47,['Cumin'],2,Poor,20,940,2023-01-18,2023-02-08,2023-04-18,Not what I expected.
Pakistan,Pasta,18,"['Wheat', 'Barley']",0,No Feedback,75,1350,2023-01-18,2023-02-08,2023-04-18,No feedback
Pakistan,Biscuit,18,"['Wheat', 'Sugar', 'Barley']",3,Average,15,270,2024-11-10,2024-12-26,2025-02-08,Decent product overall.
Bangladesh,Pasta,68,"['Wheat', 'Barley']",5,Excellent,95,6460,2022-06-19,2022-07-25,2022-09-17,Absolutely loved it!
Bhutan,Khari,49,['Cumin'],3,Average,45,2205,2023-08-25,2023-10-12,2023-11-23,Okay for the price.
Sri-Lanka,Toffee,33,['Sugar'],1,Very Poor,10,330,2020-11-05,2020-12-20,2021-02-03,Would not recommend.
Sri-Lanka,Biscuit,96,"['Wheat', 'Sugar', 'Barley']",5,Excellent,22,2112,2022-03-29,2022-04-17,2022-06-27,Exceeded my expectations!
Bhutan,Banana Chips,84,['Banana'],5,Excellent,45,3780,2023-07-13,2023-09-08,2023-10-11,Exceeded my expectations!
Bhutan,Biscuit,17,"['Wheat', 'Sugar', 'Barley']",2,Poor,25,425,2023-03-06,2023-05-02,2023-06-04,Not what I expected.
Nepal,Cookie,85,"['Barley', 'Sugar']",5,Excellent,95,8075,2020-06-17,2020-07-28,2020-09-15,Absolutely loved it!
Bangladesh,Khari,96,['Cumin'],0,No Feedback,20,1920,2021-01-23,2021-03-23,2021-04-23,No feedback
Sri-Lanka,Pie,98,['Sugar'],4,Good,35,3430,2021-11-09,2021-12-10,2022-02-07,"Good product, no issues."
Pakistan,Khari,35,['Cumin'],2,Poor,25,875,2022-06-22,2022-08-09,2022-09-20,"Not great, needs improvement."
Sri-Lanka,Maggi,11,['Wheat'],0,No Feedback,30,330,2023-07-23,2023-09-16,2023-10-21,No feedback
Pakistan,Pasta,45,"['Wheat', 'Barley']",2,Poor,75,3375,2021-04-29,2021-07-07,2021-07-28,"Not great, needs improvement."
Pakistan,Ketchup,11,['Tomato'],3,Average,55,605,2023-11-12,2023-12-08,2024-02-10,Okay for the price.
Bhutan,Pie,66,['Sugar'],2,Poor,55,3630,2022-03-05,2022-05-29,2022-06-03,Below average product.
India,Khari,65,['Cumin'],2,Poor,40,2600,2020-10-01,2020-11-07,2020-12-30,"Not great, needs improvement."
Sri-Lanka,Ketchup,55,['Tomato'],1,Very Poor,50,2750,2021-01-20,2021-03-24,2021-04-20,Disappointed with the product.
Bangladesh,Biscuit,48,"['Wheat', 'Sugar', 'Barley']",5,Excellent,18,864,2022-11-16,2023-01-10,2023-02-14,Exceeded my expectations!
India,Maggi,69,['Wheat'],0,No Feedback,25,1725,2022-10-20,2022-12-26,2023-01-18,No feedback
Pakistan,Pasta,70,"['Wheat', 'Barley']",5,Excellent,75,5250,2021-05-23,2021-07-09,2021-08-21,Outstanding product quality!
Bhutan,Biscuit,70,"['Wheat', 'Sugar', 'Barley']",0,No Feedback,25,1750,2024-06-13,2024-08-12,2024-09-11,No feedback
Bhutan,Toffee,17,['Sugar'],1,Very Poor,15,255,2024-06-14,2024-07-15,2024-09-12,Disappointed with the product.
Pakistan,Ketchup,28,['Tomato'],0,No Feedback,55,1540,2025-06-24,2025-07-10,2025-09-22,No feedback
Nepal,Biscuit,27,"['Wheat', 'Sugar', 'Barley']",0,No Feedback,24,648,2021-06-02,2021-07-13,2021-08-31,No feedback
Bhutan,Toffee,89,['Sugar'],0,No Feedback,15,1335,2020-01-21,2020-02-19,2020-04-20,No feedback
Sri-Lanka,Nachos,41,['Maize'],0,No Feedback,45,1845,2022-02-04,2022-04-28,2022-05-05,No feedback
Bhutan,Toffee,72,['Sugar'],0,No Feedback,15,1080,2023-12-22,2024-02-02,2024-03-21,No feedback
Pakistan,Nachos,53,['Maize'],3,Average,60,3180,2020-02-25,2020-03-30,2020-05-25,Decent product overall.
Sri-Lanka,Ketchup,34,['Tomato'],0,No Feedback,50,1700,2024-11-27,2024-12-18,2025-02-25,No feedback
Nepal,Pie,52,['Sugar'],0,No Feedback,45,2340,2020-06-22,2020-09-13,2020-09-20,No feedback
Sri-Lanka,Pie,56,['Sugar'],4,Good,35,1960,2020-08-03,2020-08-19,2020-11-01,"Good product, no issues."
Nepal,Ketchup,33,['Tomato'],1,Very Poor,55,1815,2025-02-06,2025-02-25,2025-05-07,Would not recommend.
Nepal,Banana Chips,43,['Banana'],4,Good,45,1935,2022-04-15,2022-07-09,2022-07-14,"Good product, no issues."
Sri-Lanka,Biscuit,34,"['Wheat', 'Sugar', 'Barley']",5,Excellent,22,748,2022-02-17,2022-03-30,2022-05-18,Absolutely loved it!
Pakistan,Biscuit,24,"['Wheat', 'Sugar', 'Barley']",2,Poor,15,360,2020-08-06,2020-08-30,2020-11-04,Not what I expected.
Nepal,Pie,28,['Sugar'],1,Very Poor,45,1260,2020-02-08,2020-02-18,2020-05-08,Very poor quality.
Sri-Lanka,Cookie,20,"['Barley', 'Sugar']",4,Good,85,1700,2023-02-22,2023-03-11,2023-05-23,Satisfactory purchase.
India,Toffee,27,['Sugar'],5,Excellent,20,540,2021-07-15,2021-09-29,2021-10-13,Absolutely loved it!
Bangladesh,Pie,40,['Sugar'],4,Good,30,1200,2022-01-22,2022-03-08,2022-04-22,Satisfactory purchase.
Sri-Lanka,Biscuit,45,"['Wheat', 'Sugar', 'Barley']",5,Excellent,22,990,2021-03-09,2021-04-22,2021-06-07,Outstanding product quality!
Bangladesh,Banana Chips,80,['Banana'],5,Excellent,35,2800,2022-03-31,2022-06-13,2022-06-29,Outstanding product quality!
Pakistan,Toffee,89,['Sugar'],2,Poor,12,1068,2023-03-06,2023-03-23,2023-06-04,"Not great, needs improvement."
Nepal,Khari,73,['Cumin'],5,Excellent,35,2555,2022-11-14,2022-12-15,2023-02-12,Exceeded my expectations!
Nepal,Khari,50,['Cumin'],2,Poor,35,1750,2022-06-04,2022-06-30,2022-09-02,Below average product.
Bangladesh,Toffee,35,['Sugar'],4,Good,10,350,2025-02-05,2025-04-01,2025-05-06,Satisfactory purchase.
Sri-Lanka,Khari,60,['Cumin'],2,Poor,35,2100,2021-06-03,2021-06-14,2021-09-01,Below average product.
Bangladesh,Ketchup,57,['Tomato'],2,Poor,45,2565,2020-12-12,2021-01-03,2021-03-12,Below average product.
Pakistan,Toffee,26,['Sugar'],1,Very Poor,12,312,2021-12-19,2022-01-03,2022-03-19,Very poor quality.
Nepal,Banana Chips,97,['Banana'],3,Average,45,4365,2022-08-19,2022-09-08,2022-11-17,Decent product overall.
Bhutan,Maggi,30,['Wheat'],4,Good,25,750,2021-08-30,2021-10-06,2021-11-28,Satisfactory purchase.
Pakistan,Banana Chips,36,['Banana'],1,Very Poor,30,1080,2022-12-16,2023-01-11,2023-03-16,Disappointed with the product.
Nepal,Toffee,34,['Sugar'],2,Poor,15,510,2023-08-03,2023-09-21,2023-11-01,Not what I expected.
Bhutan,Pasta,74,"['Wheat', 'Barley']",2,Poor,105,7770,2023-06-29,2023-08-16,2023-09-27,"Not great, needs improvement."
Nepal,Ketchup,69,['Tomato'],4,Good,55,3795,2020-07-13,2020-09-16,2020-10-11,Quite happy with the product.
Bangladesh,Maggi,98,['Wheat'],1,Very Poor,35,3430,2023-03-22,2023-05-26,2023-06-20,Would not recommend.
